city_id,language_code,name
paris,it,Parigi
paris,lt,Paryžius
paris,lv,Parīze
paris,mt,Pariġi
paris,nl,Parijs
paris,pl,Paryż
paris,pt,Paris
paris,ro,Paris
paris,sk,Paríž
paris,sl,Pariz
paris,sv,Paris
prague,bg,Прага
prague,cs,Praha
prague,da,Prag
prague,de,Prag
prague,el,Πράγα
prague,en,Prague
prague,es,Praga
prague,et,Praha
prague,fi,Praha
prague,fr,Prague
prague,ga,Prág
prague,hr,Prag
prague,hu,Prága
prague,it,Praga
prague,lt,Praha
prague,lv,Prāga
prague,mt,Praga
prague,nl,Praag
prague,pl,Praga
prague,pt,Praga
prague,ro,Praga
prague,sk,Praha
prague,sl,Praga
prague,sv,Prag
riga,bg,Рига
riga,cs,Riga
riga,da,Riga
riga,de,Riga
riga,el,Ρίγα
riga,en,Riga
riga,es,Riga
riga,et,Riia
riga,fi,Riika
riga,fr,Riga
riga,ga,Ríge
riga,hr,Riga
riga,hu,Riga
riga,it,Riga
riga,lt,Ryga
riga,lv,Rīga
riga,mt,Riga
riga,nl,Riga
riga,pl,Ryga
riga,pt,Riga
riga,ro,Riga
riga,sk,Riga
riga,sl,Riga
riga,sv,Riga
rome,bg,Рим
rome,cs,Řím
rome,da,Rom
rome,de,Rom
rome,el,Ρώμη
rome,en,Rome
rome,es,Roma
rome,et,Rooma
rome,fi,Rooma
rome,fr,Rome
rome,ga,an Róimh
rome,hr,Rim
rome,hu,Róma
rome,it,Roma
rome,lt,Roma
rome,lv,Roma
rome,mt,Ruma
rome,nl,Rome
rome,pl,Rzym
rome,pt,Roma
rome,ro,Roma
rome,sk,Rím
rome,sl,Rim
rome,sv,Rom
sofia,bg,София
sofia,cs,Sofie
sofia,da,Sofia
sofia,de,Sofia
sofia,el,Σόφια
sofia,en,Sofia
sofia,es,Sofía
sofia,et,Sofia
sofia,fi,Sofia
sofia,fr,Sofia
sofia,ga,Sóifia
sofia,hr,Sofija
sofia,hu,Szófia
sofia,it,Sofia
sofia,lt,Sofija
sofia,lv,Sofija
sofia,mt,Sofia
sofia,nl,Sofia
sofia,pl,Sofia
sofia,pt,Sófia
sofia,ro,Sofia
sofia,sk,Sofia
sofia,sl,Sofija
sofia,sv,Sofia
stockholm,bg,Стокхолм
stockholm,cs,Stockholm
stockholm,da,Stockholm
stockholm,de,Stockholm
stockholm,el,Στοκχόλμη
stockholm,en,Stockholm
stockholm,es,Estocolmo
stockholm,et,Stockholm
stockholm,fi,Tukholma
stockholm,fr,Stockholm
stockholm,ga,Stócólm
stockholm,hr,Stockholm
stockholm,hu,Stockholm
stockholm,it,Stoccolma
stockholm,lt,Stokholmas
stockholm,lv,Stokholma
stockholm,mt,Stokkolma
stockholm,nl,Stockholm
stockholm,pl,Sztokholm
stockholm,pt,Estocolmo
stockholm,ro,Stockholm
stockholm,sk,Štokholm
stockholm,sl,Stockholm
stockholm,sv,Stockholm
tallinn,bg,Талин
tallinn,cs,Tallinn
tallinn,da,Tallinn
tallinn,de,Tallinn
tallinn,el,Ταλίν
tallinn,en,Tallinn
tallinn,es,Tallin
tallinn,et,Tallinn
tallinn,fr,Tallinn
tallinn,fi,Tallinna
tallinn,ga,Taillinn
tallinn,hr,Tallinn
tallinn,hu,Tallinn
tallinn,it,Tallinn
tallinn,lt,Talinas
tallinn,lv,Tallina
tallinn,mt,Talinn
tallinn,nl,Tallinn
tallinn,pl,Tallin
tallinn,pt,Taline
tallinn,ro,Tallinn
tallinn,sk,Tallinn
tallinn,sl,Talin
tallinn,sv,Tallinn
valletta,bg,Валета
valletta,cs,Valetta
valletta,da,Valletta
valletta,de,Valletta
valletta,el,Βαλέτα
valletta,en,Valletta
valletta,es,La Valeta
valletta,et,Valletta
valletta,fi,Valletta
valletta,fr,La Valette
valletta,ga,Vaileite
